,rank,name,pob,stable,birthdate,height,weight,year,month
0,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2021,01
1,Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2021,01
2,O1e,Takakeisho,Hyogo,Tokiwayama,05.08.1996,173,149,2021,01
3,O1w,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2021,01
4,O2e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2021,01
5,S1e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2021,01
6,S1w,Takanosho,Chiba,Tokiwayama,14.11.1994,181.5,128.5,2021,01
7,K1e,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2021,01
8,K1w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2021,01
9,M1e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2021,01
10,M1w,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2021,01
11,M2e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2021,01
12,M2w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2021,01
13,M3e,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2021,01
14,M3w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2021,01
15,M4e,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2021,01
16,M4w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2021,01
17,M5e,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2021,01
18,M5w,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2021,01
19,M6e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2021,01
20,M6w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2021,01
21,M7e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2021,01
22,M7w,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2021,01
23,M8e,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2021,01
24,M8w,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2021,01
25,M9e,Chiyonokuni,Mie,Kokonoe,10.07.1990,184,143.8,2021,01
26,M9w,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2021,01
27,M10e,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2021,01
28,M10w,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2021,01
29,M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2021,01
30,M11w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2021,01
31,M12e,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2021,01
32,M12w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2021,01
33,M13e,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2021,01
34,M13w,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2021,01
35,M14e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2021,01
36,M14w,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2021,01
37,M15e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2021,01
38,M15w,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2021,01
39,M16e,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2021,01
40,M16w,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2021,01
41,M17e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2021,01
42,J1e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2021,01
43,J1w,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2021,01
44,J2e,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2021,01
45,J2w,Chiyonoo,Kagoshima,Kokonoe,29.05.1991,178,149.6,2021,01
46,J3e,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2021,01
47,J3w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2021,01
48,J4e,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2021,01
49,J4w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2021,01
50,J5e,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2021,01
51,J5w,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2021,01
52,J6e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2021,01
53,J6w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2021,01
54,J7e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2021,01
55,J7w,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2021,01
56,J8e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2021,01
57,J8w,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2021,01
58,J9e,Jokoryu,Tokyo,Kise,07.08.1988,187,162.4,2021,01
59,J9w,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2021,01
60,J10e,Ura,Osaka,Kise,22.06.1992,172,113,2021,01
61,J10w,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2021,01
62,J11e,Chiyonoumi,Kochi,Kokonoe,11.01.1993,182,128,2021,01
63,J11w,Oho,Tokyo,Otake,14.02.2000,188,166,2021,01
64,J12e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2021,01
65,J12w,Takagenji,Tochigi,Tokiwayama,13.05.1997,186,126.2,2021,01
66,J13e,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2021,01
67,J13w,Yago,Hokkaido,Oguruma,08.07.1994,187,172,2021,01
68,J14e,Ryuko,Kumamoto,Onoe,23.06.1998,180,126,2021,01
69,J14w,Tohakuryu,Tokyo,Tamanoi,17.04.1996,181,128,2021,01
0,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,01
1,Y1w,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,01
2,O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,01
3,O1w,Goeido,Osaka,Sakaigawa,06.04.1986,183,158.2,2020,01
4,S1e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,01
5,S1w,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,01
6,K1e,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,01
7,K1w,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,01
8,M1e,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,01
9,M1w,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,01
10,M2e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,01
11,M2w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,01
12,M3e,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,01
13,M3w,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,01
14,M4e,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,01
15,M4w,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,01
16,M5e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,01
17,M5w,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,01
18,M6e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,01
19,M6w,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,01
20,M7e,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,01
21,M7w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,01
22,M8e,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,01
23,M8w,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,01
24,M9e,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,01
25,M9w,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,01
26,M10e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,01
27,M10w,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,01
28,M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,01
29,M11w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,01
30,M12e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,01
31,M12w,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,01
32,M13e,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,01
33,M13w,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,01
34,M14e,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,01
35,M14w,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,01
36,M15e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,01
37,M15w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,01
38,M16e,Tochiozan,Kochi,Kasugano,09.03.1987,189,154,2020,01
39,M16w,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,01
40,M17e,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,01
41,M17w,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,01
42,J1e,Tomokaze,Kanagawa,Oguruma,02.12.1994,183,168,2020,01
43,J1w,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,01
44,J2e,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,01
45,J2w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,01
46,J3e,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,01
47,J3w,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,01
48,J4e,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,01
49,J4w,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,01
50,J5e,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,01
51,J5w,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,01
52,J6e,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,01
53,J6w,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,01
54,J7e,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,01
55,J7w,Yago,Hokkaido,Oguruma,08.07.1994,187,172,2020,01
56,J8e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,01
57,J8w,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,01
58,J9e,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,01
59,J9w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,01
60,J10e,Sokokurai,China,Arashio,09.01.1984,185,131.6,2020,01
61,J10w,Takagenji,Tochigi,Chiganoura,13.05.1997,186,126.2,2020,01
62,J11e,Toyonoshima,Kochi,Tokitsukaze,29.06.1983,169,149.4,2020,01
63,J11w,Irodori,Saitama,Shikoroyama,10.03.1992,179,131.2,2020,01
64,J12e,Asagyokusei,Mie,Takasago,29.05.1993,180,135,2020,01
65,J12w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,01
66,J13e,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,01
67,J13w,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,01
68,J14e,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,01
69,J14w,Sakigake,Mongolia,Shibatayama,05.04.1986,180,155.3,2020,01
70,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,03
71,Y1wYO,Kakuryu,Mongolia,Michinoku,10.08.1985,186,150,2020,03
72,O1e,Takakeisho,Hyogo,Chiganoura,05.08.1996,173,149,2020,03
73,S1e,Asanoyama,Toyama,Takasago,01.03.1994,189,158,2020,03
74,S1w,Shodai,Kumamoto,Tokitsukaze,05.11.1991,182,150,2020,03
75,K1e,Hokutofuji,Saitama,Hakkaku,15.07.1992,182,158,2020,03
76,K1w,Endo,Ishikawa,Oitekaze,19.10.1990,183,145.6,2020,03
77,M1e,Daieisho,Saitama,Oitekaze,10.11.1993,179,135.7,2020,03
78,M1w,Takayasu,Ibaraki,Tagonoura,28.02.1990,187,163,2020,03
79,M2e,Okinoumi,Shimane,Hakkaku,29.07.1985,190,154,2020,03
80,M2w,Tokushoryu,Nara,Kise,22.08.1986,182,170.6,2020,03
81,M3e,Yutakayama,Niigata,Tokitsukaze,22.09.1993,185,171,2020,03
82,M3w,Mitakeumi,Nagano,Dewanoumi,25.12.1992,179,149,2020,03
83,M4e,Enho,Ishikawa,Miyagino,18.10.1994,169,95,2020,03
84,M4w,Abi,Saitama,Shikoroyama,04.05.1994,185,121,2020,03
85,M5e,Ryuden,Yamanashi,Takadagawa,10.11.1990,192,145,2020,03
86,M5w,Onosho,Aomori,Onomatsu,04.07.1996,176,148.5,2020,03
87,M6e,Myogiryu,Hyogo,Sakaigawa,22.10.1986,187,148,2020,03
88,M6w,Kagayaki,Ishikawa,Takadagawa,01.06.1994,193,144.3,2020,03
89,M7e,Takarafuji,Aomori,Isegahama,18.02.1987,186,161.1,2020,03
90,M7w,Tamawashi,Mongolia,Kataonami,16.11.1984,190,161,2020,03
91,M8e,Shohozan,Fukuoka,Nishonoseki,09.02.1984,177,134.5,2020,03
92,M8w,Kiribayama,Mongolia,Michinoku,24.04.1996,184,94,2020,03
93,M9e,Takanosho,Chiba,Chiganoura,14.11.1994,181.5,128.5,2020,03
94,M9w,Tochinoshin,Georgia,Kasugano,13.10.1987,192,162,2020,03
95,M10e,Sadanoumi,Kumamoto,Sakaigawa,11.05.1987,184,131.2,2020,03
96,M10w,Tochiozan,Kochi,Kasugano,09.03.1987,189,154,2020,03
97,M11e,Chiyotairyu,Tokyo,Kokonoe,14.11.1988,182,166.8,2020,03
98,M11w,Terutsuyoshi,Hyogo,Isegahama,17.01.1995,169,112,2020,03
99,M12e,Ishiura,Tottori,Miyagino,10.01.1990,173,103.6,2020,03
100,M12w,Ikioi,Osaka,Isenoumi,11.10.1986,194,157,2020,03
101,M13e,Kotoshogiku,Fukuoka,Sadogatake,30.01.1984,180,177,2020,03
102,M13w,Aoiyama,Bulgaria,Kasugano,19.06.1986,192,192.6,2020,03
103,M14e,Kaisei,Brazil,Tomozuna,18.12.1986,195,187.8,2020,03
104,M14w,Nishikigi,Iwate,Isenoumi,25.08.1990,184.5,149.5,2020,03
105,M15e,Tsurugisho,Tokyo,Oitekaze,27.07.1991,184,154,2020,03
106,M15w,Chiyomaru,Kagoshima,Kokonoe,17.04.1991,178,176.3,2020,03
107,M16e,Azumaryu,Mongolia,Tamanoi,12.05.1987,192,147.2,2020,03
108,M16w,Shimanoumi,Mie,Kise,11.07.1989,178,160.8,2020,03
109,M17e,Meisei,Kagoshima,Tatsunami,24.07.1995,180,120,2020,03
110,M17w,Daiamami,Kagoshima,Oitekaze,15.12.1992,185,167,2020,03
111,M18e,Kotonowaka,Chiba,Sadogatake,19.11.1997,186,147,2020,03
112,J1e,Kotoyuki,Kagawa,Sadogatake,02.04.1991,176,162.4,2020,03
113,J1w,Hidenoumi,Tokyo,Kise,11.06.1989,184,156.2,2020,03
114,J2e,Chiyoshoma,Mongolia,Kokonoe,20.07.1991,183,118.2,2020,03
115,J2w,Wakatakakage,Fukushima,Arashio,06.12.1994,180,115,2020,03
116,J3e,Terunofuji,Mongolia,Isegahama,29.11.1991,192,158.5,2020,03
117,J3w,Daishoho,Mongolia,Oitekaze,28.08.1994,182,140,2020,03
118,J4e,Tobizaru,Tokyo,Oitekaze,24.04.1992,174,110,2020,03
119,J4w,Daishomaru,Osaka,Oitekaze,10.07.1991,175,153,2020,03
120,J5e,Kotoeko,Miyazaki,Sadogatake,20.11.1991,175.5,111.6,2020,03
121,J5w,Kyokushuho,Mongolia,Tomozuna,09.08.1988,191,149.6,2020,03
122,J6e,Kotoshoho,Chiba,Sadogatake,26.08.1999,188,144,2020,03
123,J6w,Akua,Ibaraki,Tatsunami,06.11.1990,181,162.6,2020,03
124,J7e,Mitoryu,Mongolia,Nishikido,25.04.1994,187,182,2020,03
125,J7w,Churanoumi,Okinawa,Kise,06.05.1993,176,126,2020,03
126,J8e,Kyokutaisei,Hokkaido,Tomozuna,18.10.1989,184,128.2,2020,03
127,J8w,Ichinojo,Mongolia,Minato,07.04.1993,190,183,2020,03
128,J9e,Kizakiumi,Okinawa,Kise,05.05.1995,174,146,2020,03
129,J9w,Hoshoryu,Mongolia,Tatsunami,22.05.1999,185,107,2020,03
130,J10e,Yago,Hokkaido,Oguruma,08.07.1994,187,172,2020,03
131,J10w,Takagenji,Tochigi,Chiganoura,13.05.1997,186,126.2,2020,03
132,J11e,Wakamotoharu,Fukushima,Arashio,05.10.1993,185,127.2,2020,03
133,J11w,Midorifuji,Shizuoka,Isegahama,30.08.1996,168,91,2020,03
134,J12e,Hakuyozan,Yamagata,Takadagawa,13.04.1995,185,145.8,2020,03
135,J12w,Asagyokusei,Mie,Takasago,29.05.1993,180,135,2020,03
136,J13e,Chiyonoumi,Kochi,Kokonoe,11.01.1993,182,128,2020,03
137,J13w,Tomokaze,Kanagawa,Oguruma,02.12.1994,183,168,2020,03
138,J14e,Chiyootori,Kagoshima,Kokonoe,11.10.1992,179,178.5,2020,03
139,J14w,Akiseyama,Aichi,Kise,18.07.1985,183,172.6,2020,03
140,Y1e,Hakuho,Mongolia,Miyagino,11.03.1985,193,150.7,2020,07
